dish,ingredients,tools,satiety,mood,strength,required_skill
Фруктовый салат,Фрукты,Нож,15,40,-3,0
Овощной салат,Овощи,Нож,10,5,0,0
Овощной смузи,"Овощи; Вода",Венчик,20,35,0,2
Фруктовый смузи,"Фрукты; Вода",Венчик,20,50,-7,2
Фруктовый лёд,"Фрукты; Лёд; Сахар",Венчик,10,65,-7,2
Масло,Молоко,Венчик,5,0,-1,2
Рыбный фарш,Любая рыба,Нож,,,,2
Сухая рыбная котлета,Рыбный фарш,Огонь,10,0,-3,2
Рыбная котлета,"Рыбный фарш; Масло",Огонь,25,10,-10,2
Мясной фарш,Мясо,Нож,,,,2
Мясная котлета,"Мясной фарш; Масло",Огонь,25,10,-10,2
Сухая мясная котлета,Мясной фарш,Огонь,10,0,-3,2
Картофельное пюре,"Овощи; Масло; Молоко","Венчик; Огонь",10,10,-5,2
Мясная котлета с пюре,"Картофельное пюре; Мясная котлета",,50,50,-20,3
Рыбная котлета с пюре,"Картофельное пюре; Рыбная котлета",,50,50,-20,3
Варёный рис,"Рис; Вода",Огонь,10,0,-1,2
Рыбная котлета с рисом,"Рыбная котлета; Варёный рис",,45,40,-12,2
Котлета с рисом,"Мясная котлета; Варёный рис",,45,40,-12,2
Ролл с лососем,"Лосось; Варёный рис",Нож,25,20,-3,
Ролл с тунцом,"Тунец; Варёный рис",Нож,25,20,-3,
Овощной ролл,"Овощи; Варёный рис",Нож,20,10,-2,2
Рыба с рисом,"Любая рыба; Варёный рис",Огонь,40,10,-5,2
Рыба с овощами,"Любая рыба; Овощи",Огонь,35,15,-3,2
Мясо с овощами,"Мясо; Овощи",Огонь,40,10,-3,2
Яичница,Яйцо,Огонь,15,5,-3,2
Яичница с беконом,"Яйцо; Мясо; Масло",Огонь,25,15,-6,3
Омлет,"Яйцо; Молоко","Венчик; Огонь",20,10,-4,2
Крем-брюле,"Молоко; Сахар; Яйцо",Огонь,10,80,-7,4
Суфле,"Яйцо; Сахар","Венчик; Огонь",20,80,-2,5
Овощной омлет,"Яйцо; Молоко; Овощи","Венчик; Огонь",25,10,-4,3
Компот,"Сахар; Вода; Фрукты",Огонь,5,50,-7,3
Карамель,Сахар,Огонь,5,10,-5,4
Оладьи,"Яйцо; Молоко; Мука; Сахар","Венчик; Огонь",20,20,-10,3
Оладьи с карамелью,"Оладьи; Карамель",,25,40,-20,
Тесто,"Мука; Вода; Яйцо",Венчик,,,,0
Чизкейк,"Тесто; Сыр; Сахар","Венчик; Огонь",30,60,-15,4
Карамельный чизкейк,"Чизкейк; Карамель",,35,85,-25,5
Фруктовый чизкейк,"Чизкейк; Фрукты",,35,70,-20,5
Яблоко в карамели,"Карамель; Фрукты",,20,55,-7,4
Фруктовый салат с карамелью,"Карамель; Фруктовый салат",,25,60,-11,
Мороженое,"Яйцо; Сахар; Молоко; Лёд",Венчик,10,70,-15,
Карамельное мороженое,"Карамель; Мороженое",,15,80,-20,
Молочный коктейль,"Мороженое; Молоко",Венчик,20,70,-15,3
Карамельный молочный коктейль,"Карамель; Молочный коктейль",,25,80,-20,
Бульон,"Мясо; Вода",Огонь,10,0,-25,0
Овощной суп,"Бульон; Овощи",Огонь,25,10,-1,
Борщ,"Бульон; Овощи; Мясо",Огонь,50,40,-20,3
Жареное мясо на масле с овощами,"Мясо; Овощи; Масло",Огонь,60,50,-15,
Жареная рыба на масле с овощами,"Любая рыба; Овощи; Масло",Огонь,60,50,-15,
Салат Капрезе,"Сыр; Овощи",Нож,15,10,0,
Хлеб,Тесто,Огонь,10,0,-2,2
Сыр,Молоко,"Венчик; Огонь",15,5,-1,2
Сэндвич с сыром,"Сыр; Хлеб","Нож; Огонь",10,20,-9,
Пицца,"Тесто; Овощи; Мясо; Сыр",Огонь,30,50,-25,3
Пельмени,"Мясной фарш; Тесто; Вода",Огонь,45,45,-15,3
Макароны,"Тесто; Вода","Нож; Огонь",10,0,-2,1
Макароны с сыром,"Макароны; Сыр",Огонь,20,25,-15,2
Макароны с мясной котлетой,"Макароны; Мясная котлета",,45,40,-15,
Макароны с рыбной котлетой,"Макароны; Рыбная котлета",,45,40,-15,
Паста Болоньезе,"Макароны; Сыр; Овощи; Мясной фарш",Огонь,60,40,-25,4
Паста Карбонара,"Макароны; Сыр; Мясо; Яйцо",Огонь,60,40,-25,4
Рамен,"Макароны; Бульон; Мясо; Яйцо",Огонь,90,70,-17,
Рагу,"Овощи; Вода; Мясо",Огонь,60,45,-20,3
Стейк,Мясо,Огонь,25,20,-8,
Стейк с рисом,"Варёный рис; Стейк",,50,30,-12,2
Стейк с салатом,"Стейк; Овощной салат",,45,30,-8,2
Стейк с макаронами,"Макароны; Стейк",,30,25,-8,2
Стейк с фруктовым соусом,"Мясо; Фрукты; Сахар",Огонь,60,50,-10,5
Стейк с фруктовым соусом и рисом,"Стейк с фруктовым соусом; Варёный рис",,80,60,-13,5
Стейк с фруктовым соусом и пюре,"Стейк с фруктовым соусом; Картофельное пюре",,80,80,-15,5
Рыба с фруктовым соусом,"Рыба; Фрукты; Сахар",Огонь,60,50,-10,5
Рыба с фруктовым соусом и рисом,"Рыба с фруктовым соусом; Варёный рис",,80,60,-13,5
Рыба с фруктовым соусом и пюре,"Рыба с фруктовым соусом; Картофельное пюре",,80,80,-15,5
Лазанья,"Молоко; Мука; Сыр; Овощи; Мясной фарш",Огонь,65,50,-20,5
Бургер,"Мясная котлета; Овощи; Хлеб",,40,0,-10,
Ризотто,"Бульон; Рисовая крупа; Сыр",Огонь,40,20,-20,
Тако с мясом,"Хлеб; Мясной фарш; Сыр; Овощи",Огонь,30,30,-10,3
